name,ingredients,Unnamed: 2,instructions,Unnamed: 4,region,diet,ingredient_text
Namakpara,"['wheat flour', 'baking soda', 'all purpose flour', 'black pepper', 'sunflower oil']",,10,,West,Veg,wheat flour baking soda all purpose flour black pepper sunflower oil
Sukhdi,"['whole wheat flour', 'gur', 'clarified butter']",,10,,West,Veg,whole wheat flour gur clarified butter
Surnoli,"['rice flakes', 'yogurt', 'raw rice', 'jaggery', 'grated coconut']",,60,,West,Veg,rice flakes yogurt raw rice jaggery grated coconut
Thalipeeth,"['whole wheat flour', 'rice flour', 'pearl millet flour', 'sorghum flour', 'sesame seeds']",,25,,West,Veg,whole wheat flour rice flour pearl millet flour sorghum flour sesame seeds
Undhiyu,"['sweet potato', 'surti papdi', 'baby potatoes', 'valor papdi', 'green peas']",,25,,West,Veg,sweet potato surti papdi baby potatoes valor papdi green peas
Veg Kolhapuri,"['gobi', 'potato', 'beans', 'khus khus', 'coconut']",,20,,West,Veg,gobi potato beans khus khus coconut
Vindaloo,"['chicken', 'coconut oil', 'wine vinegar', 'ginger', 'green', 'cinnamon']",,10,,West,Non-Veg,chicken coconut oil wine vinegar ginger green cinnamon
Lilva Kachori,"['green garlic chutney', 'fresh green peas', 'ginger', 'lemon juice', 'plain flour']",,30,,West,Veg,green garlic chutney fresh green peas ginger lemon juice plain flour
Mag Dhokli,"['moong beans', 'jaggery', 'red chillies', 'oil', 'salt']",,-1,,West,Veg,moong beans jaggery red chillies oil salt
Khichu,"['rice flour', 'sesame seeds', 'baking soda', 'peanut oil']",,5,,West,Veg,rice flour sesame seeds baking soda peanut oil
Thepla,"['chickpea flour', 'methi leaves', 'jowar flour', 'wheat flour']",,15,,West,Veg,chickpea flour methi leaves jowar flour wheat flour
Farsi Puri,"['semolina', 'clarified butter', 'oil', 'white flour', 'black pepper']",,-1,,West,Veg,semolina clarified butter oil white flour black pepper
Khaman,"['yogurt', 'fresh coconut', 'sesame seeds', 'semolina', 'gram flour']",,10,,West,Veg,yogurt fresh coconut sesame seeds semolina gram flour
Turiya Patra Vatana sabji,"['ridge gourd', 'baking soda', 'sugar', 'grated coconut', 'peas']",,35,,West,Veg,ridge gourd baking soda sugar grated coconut peas
Churma Ladoo,"['whole wheat flour', 'khus khus', 'sesame seeds', 'dry coconut', 'gur']",,12,,West,Veg,whole wheat flour khus khus sesame seeds dry coconut gur
Cheera Doi,"['rice', 'mango', 'curd']",,-1,,East,Veg,rice mango curd
Gheela Pitha,"['sticky rice', 'rice flour', 'jaggery', 'orange rind']",,10,,North East,Veg,sticky rice rice flour jaggery orange rind
Khar,"['raw papaya', 'panch phoran masala', 'nigella seeds', 'mustard oil', 'fennel seeds']",,10,,North East,Veg,raw papaya panch phoran masala nigella seeds mustard oil fennel seeds
Kumol Sawul,"['rice', 'eggs', 'carrot', 'beetroot']",,-1,,North East,Non-Veg,rice eggs carrot beetroot
Luchi,"['maida', 'vegetable oil']",,20,,East,Veg,maida vegetable oil
Alu Pitika,"['potatoes', 'mustard oil', 'fish', 'green chillies']",,5,,North East,Non-Veg,potatoes mustard oil fish green chillies
Masor tenga,"['ridge gourd', 'fish', 'lemon', 'tomatoes', 'mustard oil']",,15,,North East,Non-Veg,ridge gourd fish lemon tomatoes mustard oil
Bengena Pitika,"['brinjal', 'onions', 'salt', 'sesame seeds', 'coriander']",,-1,,North East,Veg,brinjal onions salt sesame seeds coriander
Bilahi Maas,"['potatoes', 'garam masala', 'tomatoes', 'mustard oil', 'bay leaf']",,10,,North East,Non-Veg,potatoes garam masala tomatoes mustard oil bay leaf
Black rice,"['forbidden black rice', 'chicken', 'olive oil', 'slivered almonds', 'garlic powder']",,-1,,North East,Non-Veg,forbidden black rice chicken olive oil slivered almonds garlic powder
Bora Sawul,"['biryani masala', 'mixed vegetables', 'yellow moong daal', 'whole red', 'mustard seeds']",,-1,,North East,Veg,biryani masala mixed vegetables yellow moong daal whole red mustard seeds
Brown Rice,"['brown rice', 'soy sauce', 'olive oil']",,15,,-1,Veg,brown rice soy sauce olive oil
Chingri malai curry,"['coconut milk', 'lobster', 'fresh green chilli', 'ginger', 'red onion']",,10,,East,Non-Veg,coconut milk lobster fresh green chilli ginger red onion
Goja,"['baking soda', 'clarified butter', 'oil', 'all purpose flour']",,20,,East,Veg,baking soda clarified butter oil all purpose flour
Hando Guri,"['jaggery', 'raisins']",,-1,,North East,Veg,jaggery raisins
Haq Maas,"['lamb', 'garam masala powder', 'curd', 'turmeric', 'bay leaf']",,20,,North East,Non-Veg,lamb garam masala powder curd turmeric bay leaf
Chingri Bhape,"['coconut', 'prawns', 'curd', 'mustard seed', 'green chili']",,15,,East,Non-Veg,coconut prawns curd mustard seed green chili
Kabiraji,"['fish fillet', 'besan', 'lemon', 'mint', 'ginger']",,-1,,East,Non-Veg,fish fillet besan lemon mint ginger
Khorisa,"['fermented bamboo shoot', 'potato', 'ginger', 'green', 'mustard oil']",,-1,,North East,Veg,fermented bamboo shoot potato ginger green mustard oil
Koldil Chicken,"['banana flower', 'chicken', 'green chili', 'mustard oil', 'lemon juice']",,-1,,North East,Non-Veg,banana flower chicken green chili mustard oil lemon juice
Konir Dom,"['aloo', 'tomatoes', 'mustard oil', 'bay leaf', 'cinnamon stick']",,-1,,North East,Non-Veg,aloo tomatoes mustard oil bay leaf cinnamon stick
Koldil Duck,"['rice flour', 'mutton', 'banana', 'gram flour', 'olive oil', 'baking powder']",,-1,,North East,Non-Veg,rice flour mutton banana gram flour olive oil baking powder
Masor Koni,"['fish roe', 'pumpkin flowers', 'mustard oil', 'turmeric', 'tomato']",,-1,,North East,Non-Veg,fish roe pumpkin flowers mustard oil turmeric tomato
Mishti Chholar Dal,"['chana dal', 'fresh coconut', 'ginger', 'cinnamon', 'raisins']",,10,,East,Veg,chana dal fresh coconut ginger cinnamon raisins
Pakhala,"['curd', 'cooked rice', 'curry leaves', 'dry chilli']",,-1,,East,Veg,curd cooked rice curry leaves dry chilli
Pani Pitha,"['tea leaves', 'white sesame seeds', 'dry coconut', 'soaked rice']",,10,,North East,Veg,tea leaves white sesame seeds dry coconut soaked rice
Payokh,"['basmati rice', 'rose water', 'sugar', 'clarified butter', 'cardamom pods']",,-1,,North East,Veg,basmati rice rose water sugar clarified butter cardamom pods
Prawn malai curry,"['coconut milk', 'prawns', 'garlic', 'turmeric', 'sugar']",,15,,East,Non-Veg,coconut milk prawns garlic turmeric sugar
Red Rice,"['red pepper', 'red onion', 'butter', 'watercress', 'olive oil']",,-1,,-1,Veg,red pepper red onion butter watercress olive oil
Shukto,"['green beans', 'bitter gourd', 'ridge gourd', 'banana', 'brinjal']",,10,,East,Veg,green beans bitter gourd ridge gourd banana brinjal
Til Pitha,"['glutinous rice', 'black sesame seeds', 'gur']",,5,,North East,Veg,glutinous rice black sesame seeds gur
Bebinca,"['coconut milk', 'egg yolks', 'clarified butter', 'all purpose flour']",,20,,West,Veg,coconut milk egg yolks clarified butter all purpose flour
Shufta,"['cottage cheese', 'dry dates', 'dried rose petals', 'pistachio', 'badam']",,-1,,North,Veg,cottage cheese dry dates dried rose petals pistachio badam
Mawa Bati,"['milk powder', 'dry fruits', 'arrowroot powder', 'all purpose flour']",,20,,Central,Veg,milk powder dry fruits arrowroot powder all purpose flour
Pinaca,"['brown rice', 'fennel seeds', 'grated coconut', 'black pepper', 'ginger powder']",,-1,,West,Veg,brown rice fennel seeds grated coconut black pepper ginger powder
